,date,ratio (t-3),negatives (t-3),negatives (t-4),negatives (t-6),negatives (t-1),positives (t-3),label
293,2018-03-05,0.0,0.0,2.0,3.0,0.0,0.0,0
294,2018-03-02,0.25,3.0,0.0,0.0,2.0,1.0,1
295,2018-03-01,0.0,0.0,0.0,0.0,2.0,0.0,0
296,2018-02-28,0.0,0.0,0.0,3.0,3.0,0.0,0
297,2018-02-27,0.0,0.0,0.0,1.0,0.0,0.0,0
298,2018-02-26,0.0,0.0,3.0,1.0,0.0,0.0,1
299,2018-02-23,0.0,1.0,0.0,0.0,3.0,0.0,1
300,2018-02-22,0.0,0.0,0.0,1.0,1.0,0.0,1
301,2018-02-21,0.0,0.0,0.0,2.0,1.0,0.0,0
302,2018-02-20,0.0,0.0,1.0,3.0,0.0,0.0,0
303,2018-02-16,0.0,2.0,1.0,0.0,2.0,0.0,1
304,2018-02-15,0.5,1.0,0.0,2.0,3.0,1.0,1
305,2018-02-14,0.0,0.0,0.0,5.0,2.0,0.0,0
306,2018-02-13,0.0,0.0,2.0,4.0,1.0,0.0,1
307,2018-02-12,0.6,2.0,5.0,0.0,0.0,3.0,1
308,2018-02-09,1.0,0.0,2.0,0.0,5.0,1.0,0
309,2018-02-08,0.0,2.0,0.0,2.0,4.0,0.0,0
310,2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,1
311,2018-02-06,0.0,0.0,2.0,0.0,2.0,0.0,1
312,2018-02-05,0.5,2.0,0.0,2.0,0.0,2.0,0
313,2018-02-02,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0
314,2018-02-01,0.0,0.0,0.0,2.0,0.0,0.0,0
315,2018-01-31,0.0,0.0,0.0,0.0,2.0,0.0,1
316,2018-01-30,0.0,0.0,2.0,1.0,0.0,0.0,0
317,2018-01-29,0.0,2.0,0.0,1.0,0.0,0.0,1
318,2018-01-26,0.5,1.0,1.0,0.0,0.0,1.0,1
319,2018-01-25,0.0,1.0,0.0,0.0,1.0,0.0,0
320,2018-01-24,0.0,0.0,0.0,0.0,1.0,0.0,0
321,2018-01-23,0.0,0.0,0.0,1.0,1.0,0.0,1
322,2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,1
323,2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,1
324,2018-01-18,0.0,0.0,0.0,0.0,1.0,0.0,0
325,2018-01-17,0.0,0.0,0.0,3.0,0.0,0.0,1
326,2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,1
327,2018-01-12,0.5,1.0,3.0,0.0,3.0,1.0,0
328,2018-01-11,0.4,3.0,0.0,4.0,0.0,2.0,1
329,2018-01-10,0.0,0.0,0.0,6.0,1.0,0.0,1
330,2018-01-09,0.0,0.0,4.0,4.0,3.0,0.0,0
331,2018-01-08,0.3333333333333333,4.0,6.0,2.0,0.0,2.0,1
332,2018-01-05,0.0,2.0,0.0,0.0,6.0,0.0,1
333,2018-01-04,0.0,0.0,0.0,0.0,4.0,0.0,0
334,2018-01-03,0.0,0.0,0.0,0.0,2.0,0.0,0
335,2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0
